,product_name,product_price,product_desc,product_review
41,"OnePlus 10T 5G (Moonstone Black, 256 GB)","₹48,980",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera4800 mAh Battery1 year on phone & 6 months on accessories,4.2
42,"OnePlus 10T 5G (Jade Green, 256 GB)","₹48,990",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera4800 mAh Battery1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,4.2
43,"OnePlus 9 Pro 5G (Stellar Black, 256 GB)","₹49,949",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display48MP Rear Camera4500 mAh Battery1 Year Warranty,3.8
44,"SAMSUNG Galaxy A73 5G (Awesome Gray, 128 GB)","₹41,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) Full HD+ Display108MP + 12MP + 5MP + 5MP | 32MP Front Camera5000 mAh Li-ion BatteryQualcomm Snapdragon 778G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box,4.2
45,"OnePlus 10T 5G (Jade Green, 128 GB)","₹46,449","8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera4800 mAh Battery1 year on phone, 6 months on accessories",4.3
46,"APPLE iPhone 11 (Red, 128 GB)","₹46,999",128 GB ROM15.49 cm (6.1 inch) Liquid Retina HD Display12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty of 1 Year,4.6
47,"realme GT 2 Pro (Paper White, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Quad HD Display50MP + 50MP + 2MP | 32MP Front Camera5000 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 1 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.2
48,"OnePlus 11R 5G (Galactic Silver, 256 GB)","₹44,160",16 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5000 mAh BatteryDomestic warranty of 12 months on phone & 6 months on accessories,4.5
49,"MOTOROLA Edge 30 Ultra (Interstellar Black, 256 GB)","₹49,999",12 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display200MP + 50MP + 12MP | 60MP Front Camera4610 mAh Lithium BatteryQualcomm Snapdragon 8+ Gen 1 Processor1 Year on Handset and 6 Months on Accessories,4.3
50,"MOTOROLA Edge 30 Ultra (Starlight White, 256 GB)","₹49,999",12 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display200MP + 50MP + 12MP | 60MP Front Camera4610 mAh Lithium BatteryQualcomm Snapdragon 8+ Gen 1 Processor1 Year on Handset and 6 Months on Accessories,4.3
51,"SAMSUNG Galaxy S22 Plus 5G (Phantom Black, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM16.76 cm (6.6 inch) Full HD+ Display50MP + 12MP + 10MP | 10MP Front Camera4500 mAh Lithium-ion BatteryQualcomm Snapdragon 8 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.5
52,"SAMSUNG Galaxy S20 FE 5G (Cloud Mint, 128 GB)","₹26,990",8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) Display12MP Rear Camera4500 mAh Battery1 Year Warranty,4.2
